counter,phi,theta,psi,accel_x,accel_y,accel_z,gps_x,gps_y,gps_z,height,ultrasound,opticflow_vx,opticflow_vy
906,-576,402,10523,-48,-142,-390,392433245,30036076,500219791,1.023438,3116,3.071044,65.76326
907,-576,402,10523,-48,-142,-390,392433245,30036076,500219791,1.023438,3116,3.071044,65.76326
908,-576,402,10523,-48,-142,-390,392433245,30036076,500219791,1.023438,3116,3.071044,65.76326
909,-568,402,10535,88,-187,-209,392433247,30036078,500219789,1.023438,3108,0,74.36676
910,-568,402,10535,88,-187,-209,392433247,30036078,500219789,1.023438,3108,0,74.36676
911,-568,402,10535,88,-187,-209,392433247,30036078,500219789,1.023438,3108,0,74.36676
912,-532,412,10550,-136,-155,-231,392433249,30036080,500219788,1.023438,3101,0,71.692451
913,-532,412,10550,-136,-155,-231,392433249,30036080,500219788,1.023438,3101,0,71.692451
914,-532,412,10550,-136,-155,-231,392433249,30036080,500219788,1.023438,3101,0,71.692451
915,-525,450,10532,-85,-175,162,392433251,30036082,500219787,1.027344,3117,-9.16793,83.493179
916,-525,450,10532,-85,-175,162,392433251,30036082,500219787,1.027344,3117,-9.16793,83.493179
917,-525,450,10532,-85,-175,162,392433251,30036082,500219787,1.027344,3117,-9.16793,83.493179
918,-539,470,10494,0,-167,9,392433253,30036084,500219785,1.027344,3117,0,95.073402
919,-539,470,10494,0,-167,9,392433253,30036084,500219785,1.027344,3117,0,95.073402
920,-539,470,10494,0,-167,9,392433253,30036084,500219785,1.027344,3117,0,95.073402
921,-544,488,10470,-101,-98,67,392433255,30036086,500219783,1.027344,3029,0,86.057243
922,-544,488,10470,-101,-98,67,392433255,30036086,500219783,1.027344,3029,0,86.057243
923,-544,488,10470,-101,-98,67,392433255,30036086,500219783,1.027344,3029,0,86.057243
924,-528,507,10463,-146,-115,58,392433257,30036088,500219782,1.027344,3097,0,81.09906
925,-528,507,10463,-146,-115,58,392433257,30036088,500219782,1.027344,3097,0,81.09906
926,-528,507,10463,-146,-115,58,392433257,30036088,500219782,1.027344,3097,0,81.09906
927,-515,535,10429,-107,-180,58,392433259,30036090,500219780,1.023438,2779,0,92.779419
928,-515,535,10429,-107,-180,58,392433259,30036090,500219780,1.023438,2779,0,92.779419
